Country,Population 2025,Area (Km^2),Density,Change (%),Global Population (%),Rank
Eswatini,1256170.0,17400.0,73,1.07,0.02,159
Djibouti,1184080.0,23200.0,51,1.31,0.01,160
Fiji,933154.0,18300.0,51,0.47,0.01,161
Comoros,882847.0,1900.0,474,1.87,0.01,162
Reunion,882405.0,2500.0,351,0.43,0.01,163
Solomon Islands,838645.0,28900.0,30,2.37,0.01,164
Guyana,835986.0,215000.0,4,0.59,0.01,165
Bhutan,796682.0,38400.0,21,0.65,0.01,166
Macau,722007.0,33.0,"21,946",0.24,0.01,167
Luxembourg,680453.0,2600.0,264,1.1,0.01,168
Suriname,639850.0,163800.0,4,0.85,0.01,169
Montenegro,632729.0,13800.0,47,-0.9,0.01,170
Western Sahara,600904.0,266000.0,2,1.76,0.01,171
Malta,545405.0,316.0,"1,704",1.07,0.01,172
Maldives,529676.0,300.0,"1,766",0.36,0.01,173
Cape Verde,527326.0,4000.0,131,0.47,0.01,174
Brunei,466330.0,5800.0,88,0.78,0.01,175
Belize,422924.0,23000.0,19,1.4,0.01,176
Bahamas,403033.0,13900.0,40,0.44,0.01,177
Iceland,398266.0,103000.0,4,1.24,0.01,178
Guadeloupe,373791.0,1600.0,230,-0.35,0.01,179
Martinique,340439.0,1100.0,302,-0.8,0.01,180
Mayotte,337011.0,374.0,901,3.22,0.01,181
Vanuatu,335169.0,12200.0,27,2.26,0.01,182
French Guiana,313666.0,83500.0,4,1.67,0.01,183
New Caledonia,295333.0,18600.0,16,0.92,0.01,184
Barbados,282623.0,430.0,657,0.06,0.01,185
French Polynesia,282465.0,4200.0,81,0.23,0.01,186
Sao Tome and Principe,240254.0,964.0,250,2.0,0.01,187
Samoa,219306.0,2800.0,79,0.59,0.01,188
Curacao,185487.0,444.0,418,0.0,0.01,189
Saint Lucia,180149.0,616.0,295,0.23,0.01,190
Guam,168999.0,549.0,313,0.73,0.01,191
Kiribati,136488.0,811.0,169,1.46,0.01,192
Seychelles,132779.0,452.0,289,1.81,0.01,193
Grenada,117303.0,344.0,345,0.08,0.01,194
Micronesia,113683.0,702.0,162,0.46,0.01,195
Aruba,108147.0,180.0,601,0.07,0.01,196
Jersey,103989.0,116.0,867,0.14,0.01,197
Tonga,103742.0,747.0,144,-0.42,0.01,198
Saint Vincent and the Grenadines,99924.0,389.0,256,-0.69,0.01,199
Antigua and Barbuda,94209.0,442.0,214,0.47,0.01,200
United States Virgin Islands,84138.0,347.0,242,-0.9,0.01,201
Isle of Man,84118.0,572.0,148,-0.05,0.01,202
